slug,name,type,toxicity_level,animals,notes
eucalyptus-olie,Eucalyptusolie,huishouden,middel,"katten,honden,vogels,konijnen",Irriterend voor luchtwegen
pepermunt-olie,Pepermuntolie,huishouden,middel,"katten,honden,vogels,konijnen",Kan klachten geven
lavendel-olie,Lavenolie,huishouden,laag,"katten,honden",Meestal mild in kleine hoeveelheden
antivries,Antivries,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Ethyleenglycol zeer giftig
ruitensproeiervloeistof,Ruitensproeiervloeistof,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Kan methanol bevatten
rattengif,Rattengif,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Altijd spoed
slakkenkorrels,Slakkenkorrels,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Metaldehyde risico
insecticide-spray,Insecticide spray,huishouden,onbekend,"katten,honden,konijnen,vogels,knaagdieren",Afhankelijk van werkzame stof
motballen,Motballen,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Nafthaleen toxisch
sigaretpeuk,Sigaretpeuk/nicotine,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Nicotine zeer giftig
nicotinevloeistof,Nicotinevloeistof e-sigaret,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Zeer geconcentreerd
mondwater,Mondwater,huishouden,onbekend,"honden,katten",Kan alcohol/xylitol bevatten
parfum,Parfum,huishouden,laag,"katten,honden",Alcohol/irritatie
handzeep,Handzeep,huishouden,laag,"katten,honden,konijnen",Meestal mild
shampoo,Shampoo,huishouden,laag,"katten,honden,konijnen",Meestal mild irriterend
nagellak,Nagellak,huishouden,middel,"katten,honden,vogels,konijnen",Oplosmiddelen giftig
nagellakremover,Nagellakremover,huishouden,middel,"katten,honden,vogels,konijnen",Aceton giftig
gootsteenontstopper,Gootsteenontstopper,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Zeer bijtend
ovenreiniger,Ovenreiniger,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Zeer bijtend
vlooienmiddel-hond,Vlooienmiddel hond,huishouden,hoog,"katten",Permethrine dodelijk voor katten
# ===========================================
# CHEMISCH / OVERIG
# ===========================================
benzine,Benzine,chemisch,hoog,"katten,honden,konijnen,vogels,knaagdieren",Giftig en brandgevaar
terpentine,Terpentine,chemisch,hoog,"katten,honden,konijnen,vogels,knaagdieren",Giftig bij inname/inademing
verfverdunner,Verfverdunner,chemisch,hoog,"katten,honden,konijnen,vogels,knaagdieren",Giftig oplosmiddelen
handgel,Handgel (alcohol),chemisch,middel,"katten,honden,konijnen,vogels,knaagdieren",Alcohol giftig
kunstsneeuw,Kunstsneeuw decor,chemisch,onbekend,"katten,honden,konijnen,vogels,knaagdieren",Samenstelling varieert
secondelijm,Secondelijm,chemisch,laag,"katten,honden,konijnen",Mechanisch risico (plakken)
accuzuur,Accuzuur,chemisch,hoog,"katten,honden,konijnen,vogels,knaagdieren",Zeer bijtend
meststoffen,Meststoffen tuin,chemisch,onbekend,"katten,honden,konijnen,vogels,knaagdieren",Afhankelijk van type
verf,Verf,chemisch,middel,"katten,honden,konijnen,vogels,knaagdieren",Lood/oplosmiddelen gevaarlijk
lijm,Lijm,chemisch,laag,"katten,honden,konijnen",Meestal mild
kit,Kit/siliconen,chemisch,laag,"katten,honden,konijnen",Kan verstopping geven
batterijen,Batterijen,chemisch,hoog,"katten,honden,konijnen,vogels,knaagdieren",Bijtende stoffen en metalen
blauwgroene-algen,Blauwgroene algen,chemisch,hoog,"honden,katten",In stilstaand water - dodelijk
cannabis,Cannabis,chemisch,hoog,"honden,katten",THC giftig voor huisdieren
cafeine,Cafeine,chemisch,hoog,"katten,honden,konijnen,vogels,knaagdieren",Overstimulatie hart
# ===========================================
# EXTRA PLANTEN voor volume
# ===========================================
duizendschoon,Duizendschoon,plant,middel,"katten,honden,konijnen",Mild giftig
ridderspoor,Ridderspoor,plant,hoog,"katten,honden,konijnen,knaagdieren",Alkaloiden giftig
gouden-regen,Gouden regen,plant,hoog,"katten,honden,konijnen,vogels,knaagdieren",Zeer giftig
buxus,Buxus,plant,middel,"katten,honden,konijnen,vogels,knaagdieren",Alkaloiden
liguster,Liguster,plant,middel,"katten,honden,konijnen,knaagdieren",Bessen giftig
laurier,Laurier,plant,middel,"katten,honden,konijnen",Cyanide verbindingen
snijbloemen-mix,Snijbloemen mix,plant,onbekend,"katten,honden,konijnen,vogels,knaagdieren",Check individuele bloemen
venkelkruid,Venkel,plant,laag,"katten,honden,konijnen",Meestal veilig in kleine hoeveelheden
eucalyptus,Eucalyptus,plant,middel,"katten,honden,vogels,konijnen",Olie giftig
brandnetel,Brandnetel,plant,laag,"katten,honden,konijnen,knaagdieren",Irritatie door haren
# ===========================================
# EXTRA VOEDSEL voor volume
# ===========================================
soja,Soja,voedsel,laag,"honden,katten",Allergie mogelijk
tarwe,Tarwe,voedsel,laag,"honden,katten",Allergie mogelijk
mais,Mais,voedsel,laag,"honden,katten,konijnen,knaagdieren",Moeilijk verteerbaar
tomaat-rijp,Rijpe tomaat,voedsel,laag,"honden,katten",Vruchtvlees meestal OK
paprika,Paprika,voedsel,laag,"honden,katten,konijnen",Meestal veilig
komkommer,Komkommer,voedsel,laag,"honden,katten,konijnen,knaagdieren",Veilig
wortel,Wortel,voedsel,laag,"honden,katten,konijnen,knaagdieren",Veilig
appel,Appel,voedsel,laag,"honden,katten,konijnen,knaagdieren",Pitten bevatten cyanide
peer,Peer,voedsel,laag,"honden,katten,konijnen,knaagdieren",Pitten bevatten cyanide
aardbei,Aardbei,voedsel,laag,"honden,katten,konijnen,knaagdieren",Meestal veilig met mate
framboos,Framboos,voedsel,laag,"honden,katten,konijnen,knaagdieren",Meestal veilig met mate
bosbes,Bosbes,voedsel,laag,"honden,katten,konijnen,knaagdieren",Meestal veilig met mate
banaan,Banaan,voedsel,laag,"honden,katten,konijnen,knaagdieren,vogels",Veilig met mate
mango,Mango,voedsel,laag,"honden,katten,vogels",Pit giftig
ananas,Ananas,voedsel,laag,"honden,katten",Kan maagirritatie geven
kiwi,Kiwi,voedsel,laag,"honden,katten",Meestal veilig
watermeloen,Watermeloen,voedsel,laag,"honden,katten,konijnen,knaagdieren",Pitten verwijderen
pompoen,Pompoen,voedsel,laag,"honden,katten,konijnen,knaagdieren",Veilig gekookt
courgette,Courgette,voedsel,laag,"honden,katten,konijnen,knaagdieren",Meestal veilig
broccoli,Broccoli,voedsel,laag,"honden,katten,konijnen,knaagdieren",Kleine hoeveelheden OK
bloemkool,Bloemkool,voedsel,laag,"honden,katten,konijnen,knaagdieren",Kan gas geven
spinazie,Spinazie,voedsel,laag,"honden,katten,konijnen,knaagdieren",Oxaalzuur met mate
sla,Sla,voedsel,laag,"honden,katten,konijnen,knaagdieren",IJsbergsla weinig voeding
# ===========================================
# EXTRA HUISHOUDEN voor volume
# ===========================================
wc-reiniger,WC-reiniger,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Bijtende zuren
glasreiniger,Glasreiniger,huishouden,middel,"katten,honden,konijnen,vogels,knaagdieren",Ammonia bevattend
allesreiniger,Allesreiniger,huishouden,middel,"katten,honden,konijnen,vogels,knaagdieren",Oppervlakte-actieve stoffen
schoonmaakazijn,Schoonmaakazijn,huishouden,laag,"katten,honden,konijnen",Irriterend
kaarsen,Kaarsen,huishouden,laag,"katten,honden,vogels,konijnen",Rook irriterend voor vogels
wierook,Wierook,huishouden,middel,"vogels,katten,honden",Rook schadelijk voor vogels
lood,Lood,huishouden,hoog,"katten,honden,konijnen,vogels,knaagdieren",Vergiftiging bij inname
zink,Zink,huishouden,middel,"honden,katten,vogels",Te veel is giftig
koper,Koper,huishouden,middel,"honden,katten,konijnen",Te veel is giftig
# ===========================================
# EXTRA MEDICIJNEN voor volume
# ===========================================
benzodiazepines,Benzodiazepines,medicijn,hoog,"katten,honden,konijnen,vogels,knaagdieren",Sederende middelen gevaarlijk
opiaten,Opiaten,medicijn,hoog,"katten,honden,konijnen,vogels,knaagdieren",Ademhalingsdepressie
tramadol,Tramadol,medicijn,hoog,"katten,honden",Niet voor katten
prednison,Prednison,medicijn,middel,"katten,honden",Alleen onder begeleiding
metformine,Metformine,medicijn,middel,"honden,katten",Hypoglycemie risico
hartmedicatie,Hartmedicatie,medicijn,hoog,"katten,honden,konijnen",Ernstige bijwerkingen
chemotherapie,Chemotherapie middelen,medicijn,hoog,"katten,honden,konijnen,vogels,knaagdieren",Altijd spoed
jodium,Jodium,medicijn,middel,"katten,honden",Schildklier problemen
zinkzalf,Zinkzalf,medicijn,laag,"honden,katten",Grote hoeveelheden problematisch
# ===========================================
# SPECIFIEK VOOR KONIJNEN
# ===========================================
sla-ijsberg,IJsbergsla,voedsel,laag,"konijnen",Weinig voeding veel water
kool,Kool,voedsel,laag,"konijnen,knaagdieren",Kan gas veroorzaken
# ===========================================
# SPECIFIEK VOOR VOGELS
# ===========================================
avocado-vogel,Avocado,voedsel,hoog,"vogels",Persin dodelijk voor vogels
chocolade-vogel,Chocolade voor vogels,voedsel,hoog,"vogels",Theobromine zeer giftig
koffie-vogel,Koffie voor vogels,voedsel,hoog,"vogels",Cafeine zeer giftig
zout,Zout,voedsel,middel,"vogels,konijnen,knaagdieren",Te veel is giftig
teflon,Teflon dampen,huishouden,hoog,"vogels",Oververhitte pan dodelijk voor vogels
# ===========================================
# SPECIFIEK VOOR KNAAGDIEREN
# ===========================================
citrus,Citrusvruchten,voedsel,laag,"knaagdieren",Kan problemen geven bij ratten
aardnoten,Aardnoten,voedsel,laag,"knaagdieren",Let op schimmel
